urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom
https://www.domain.com.au/504-9-degraves-street-melbourne-vic-3000-12131201,Apartment,https://rimh2.domainstatic.com.au/lIgfj4yKZ1_JgRDlC08MiScrrhM=/660x440/filters:format(jpeg):quality(80)/12131201_1_1_180427_083111-w1600-h1200,null,Andrea Diaz-McKendry,Kay \u0026 Burton - Bayside,560,"504/9 Degraves Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/1714-87-franklin-street-melbourne-vic-3000-12161023,Apartment,https://rimh2.domainstatic.com.au/7jjaeK_pAxx0b2Zg5crgBxFtMuM=/660x440/filters:format(jpeg):quality(80)/12161023_1_1_180503_053201-w800-h533,null,Stephanie Hume,Dingle Partners,570,"1714/87 Franklin Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/1913-250-elizabeth-street-melbourne-vic-3000-12161213,Apartment,https://rimh2.domainstatic.com.au/11hAablklIW7t0duWJyDjy-sUkY=/660x440/filters:format(jpeg):quality(80)/12161213_1_1_180503_060417-w800-h600,null,Natalie Dixon,Dingle Partners,465,"1913/250 Elizabeth Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/302-30-st-andrews-place-melbourne-vic-3000-12162490,Apartment,https://rimh2.domainstatic.com.au/tcY0Cei9qIGsBNTCfPLxIv_CtpE=/660x440/filters:format(jpeg):quality(80)/12162490_1_1_180508_032635-w769-h513,null,Elizabeth McQuillian,Dingle Partners,1625,"302/30 St Andrews Place,MELBOURNE,VIC,3000",3,2
https://www.domain.com.au/4b-237-flinders-lane-melbourne-vic-3000-12163332,Apartment,https://rimh2.domainstatic.com.au/N-c3CVeII4WLYOCLseMoclL_LQA=/660x440/filters:format(jpeg):quality(80)/12163332_1_1_180504_033013-w800-h450,null,Elizabeth McQuillian,Dingle Partners,590,"4B/237 Flinders Lane,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/1003-31-abeckett-street-melbourne-vic-3000-12164304,Apartment,https://rimh2.domainstatic.com.au/LsD1MyhxFPCEWc1hW2svpD-P5p8=/660x440/filters:format(jpeg):quality(80)/12164304_1_1_180504_062444-w800-h600,null,Natalie Dixon,Dingle Partners,530,"1003/31 Abeckett Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/307-325-collins-street-melbourne-vic-3000-12170579,Apartment,https://rimh2.domainstatic.com.au/Lh1WqAJU5LZGxNzgm5QUZ5qHWW8=/660x440/filters:format(jpeg):quality(80)/12170579_1_1_180508_070322-w800-h535,null,Natalie Dixon,Dingle Partners,520,"307/325 Collins Street,MELBOURNE,VIC,3000",2,2
https://www.domain.com.au/3302-327-la-trobe-street-melbourne-vic-3000-12171738,Apartment,https://rimh2.domainstatic.com.au/6zxRMUumkUz-Ln1a2Y_Sb5nw6yg=/660x440/filters:format(jpeg):quality(80)/12171738_1_1_180516_055457-w800-h534,https://rimh2.domainstatic.com.au/nTEU8YGS3UJwsB3msJPEGZ0BCKs=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/17402/contact_1492180.jpeg?mod=180516-162741,Joyce Chang,Harcourts Glen Waverley,580,"3302/327 La Trobe Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/2009-250-elizabeth-street-melbourne-vic-3000-12173491,Apartment,https://rimh2.domainstatic.com.au/dhlj9TB8ZicrqDGoN627Aw1pe7M=/660x440/filters:format(jpeg):quality(80)/12173491_1_1_180509_061740-w5394-h3504,null,Natalie Dixon,Dingle Partners,635,"2009/250 Elizabeth Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/171-15-collins-street-melbourne-vic-3000-12174018,Apartment,https://rimh2.domainstatic.com.au/nfv0aQ0Hv0rwDIrd6JKA14b6LaY=/660x440/filters:format(jpeg):quality(80)/12174018_1_1_180509_074831-w4134-h2756,https://rimh2.domainstatic.com.au/Ox3NadIsO9jO_XIOEzk9vBNQbrc=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/16216/contact_1382535.jpeg?mod=171106-111608,Daniella Ferraro,Harcourts Melbourne City,950,"171/15 Collins Street,MELBOURNE,VIC,3000",2,2
