urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom,carpark,agentCompanyPic
https://www.realestate.com.au/property-apartment-vic-melbourne-403878626,apartment,,https://i1.au.reastatic.net/120x160/d88610cf27336d8848a8cc71350be60d2d09b7a2a681b1d278706b9ba0d44c52/main.jpg,Stefan De Jonge,rRent Property Management - KEW,465,"1414/610 St Kilda Road, Melbourne, Vic 3004",2,1,1,https://i1.au.reastatic.net/agencylogo/RAHSOU/12/20170920081608.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423702930,apartment,,https://i4.au.reastatic.net/120x160/ca7e03647207d6f1dd9dce5fabe44f64fc03d66692f6028429e1bb0f8ff1f1d9/main.jpg,Vanessa Pleasance,hockingstuart - South Yarra ,,"102/555 St Kilda Road, Melbourne, Vic 3004",2,2,2,https://i2.au.reastatic.net/agencylogo/XHSSOU/12/20171109160845.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-404824308,apartment,https://i2.au.reastatic.net/640x480/b660cbb53b1748fd96d7ee646b8689175461e9254dce653501a26960817815a7/main.jpg,https://i3.au.reastatic.net/120x160/286252122f49bbb34cf555dc453d7122e68004b91e30412e57b2d35a68fb0771/main.jpg,John Purcell,Ray White - Carnegie,425,"1410/565 Flinders Street, Melbourne, Vic 3000",1,1,,https://i1.au.reastatic.net/agencylogo/XRWCAT/12/20180227113906.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423817902,apartment,https://i1.au.reastatic.net/640x480/3e9a433b86216080898db9419102232875b19143bd78faadf5e482b70165e74b/main.jpg,https://i1.au.reastatic.net/120x160/97a1a39ff84a03809bff52b9789f49e5a8bf885e7382b2c3ffa1a11a2bd581b3/main.jpg,Andrea Lisanti,Galldon Real Estate - Melbourne,,"310/565 Flinders Street, Melbourne, Vic 3000",1,1,,https://i4.au.reastatic.net/agencylogo/XRWMEL/12/20180508105204.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423816178,apartment,https://i3.au.reastatic.net/640x480/df2b800f47568d12a14a92e3432bff96ccbc8308f7ec721081f1c0a7aa1ece96/main.jpg,https://i1.au.reastatic.net/120x160/e6063b720160c5e5378d6356c306c60a929dabd534f82465c69d081242462c28/main.jpg,Danielle Crumblehulme,Ray White - South Melbourne  ,595,"136/538 Little Lonsdale St, Melbourne, Vic 3000",2,1,1,https://i2.au.reastatic.net/agencylogo/DVAURA/12/20170501084603.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423813934,apartment,https://i3.au.reastatic.net/640x480/9b8d61501132324800d36cab802e47cbd532472f32a548d09eda938894dd0d46/main.jpg,https://i1.au.reastatic.net/120x160/f7429a5ec2aaeecbe6842f6e4cb2ceed14e67de4fa18f0cad866813fbe8a0fad/main.jpg,Clarisa Putri,Melcorp Real Estate - Melbourne,520,"1013/25 Therry Street, Melbourne, Vic 3000",2,1,,https://i2.au.reastatic.net/agencylogo/XIQTUU/12/20171129114331.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423812942,apartment,https://i2.au.reastatic.net/640x480/b4f47ccb3543a0b2ed27d220131b1850479d5eab90777d51e4e07f4e2c4c648f/main.jpg,https://i1.au.reastatic.net/120x160/f7429a5ec2aaeecbe6842f6e4cb2ceed14e67de4fa18f0cad866813fbe8a0fad/main.jpg,Clarisa Putri,Melcorp Real Estate - Melbourne,580,"1213/ 25 Therry Street, Melbourne, Vic 3000",2,1,,https://i2.au.reastatic.net/agencylogo/XIQTUU/12/20171129114331.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423812746,apartment,https://i1.au.reastatic.net/640x480/5a3f34f8c5ad11c69e60d6b89862fa23f02a247b9a17da3624506549b8004b06/main.jpg,https://i1.au.reastatic.net/120x160/97a1a39ff84a03809bff52b9789f49e5a8bf885e7382b2c3ffa1a11a2bd581b3/main.jpg,Andrea Lisanti,Galldon Real Estate - Melbourne,,"304/325 Collins Street, Melbourne, Vic 3000",2,1,,https://i4.au.reastatic.net/agencylogo/XRWMEL/12/20180508105204.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423696342,apartment,https://i4.au.reastatic.net/640x480/0c16ecddc398559a7d063488256e2d19168c0999f207e743952ebc2a24cbc20d/main.jpg,https://i4.au.reastatic.net/120x160/04c3c7f4a0a7b93eeb21c463fdaeebd3ea4414d22cf2a1e295e587e5c44f2be6/main.jpg,Natalie McAsey,Cayzer Real Estate  - Albert Park,625.00,"1315/568 St Kilda Road, Melbourne, Vic 3004",2,2,1,https://i3.au.reastatic.net/agencylogo/CAPALB/12/20170608123803.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423811558,apartment,https://i1.au.reastatic.net/640x480/ac32df1bfbb1604598927423cb0de094ecf12f528dcbbff3372763715093bb07/main.jpg,https://i1.au.reastatic.net/120x160/f7429a5ec2aaeecbe6842f6e4cb2ceed14e67de4fa18f0cad866813fbe8a0fad/main.jpg,Clarisa Putri,Melcorp Real Estate - Melbourne,735,"4506/27 Therry Street, Melbourne, Vic 3000",2,2,,https://i2.au.reastatic.net/agencylogo/XIQTUU/12/20171129114331.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-420995074,apartment,https://i3.au.reastatic.net/640x480/c047ebb8c8fba04ed0b0f01aee388968ac72a78cc1bd95e274eb73129d785da7/main.jpg,https://i3.au.reastatic.net/120x160/7eb0f710c24774b2cd1b8c8db7cb25668fc42e3b426d2c1cfaa6d3a4bc999e84/main.jpg,Mike Drover,Melbourne Real Estate - South Yarra  ,"1,000","6005/135 A'Beckett Street, Melbourne, Vic 3000",3,2,1,https://i2.au.reastatic.net/agencylogo/MFGSOU/12/20160824093945.gif
https://www.realestate.com.au/property-unit-vic-melbourne-403969282,unit,https://i4.au.reastatic.net/640x480/58ddc85b3dba00915c4f2d549705663be1afd42e9db7dfcb2da76fdfd0c29d9e/main.jpg,https://i1.au.reastatic.net/120x160/97a1a39ff84a03809bff52b9789f49e5a8bf885e7382b2c3ffa1a11a2bd581b3/main.jpg,Andrea Lisanti,Galldon Real Estate - Melbourne,780,"4/201 Franklin Street, Melbourne, Vic 3000",3,2,1,https://i4.au.reastatic.net/agencylogo/XRWMEL/12/20180508105204.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423809778,apartment,https://i4.au.reastatic.net/640x480/2e0123862b6f92da9a832bcbb0052c6e5ed0d58a5904e8ebdb4dc5681af1f008/main.jpg,https://i4.au.reastatic.net/120x160/daf3e8446ccce9fddeb30572739ece6fbeffadeecc40edaf5501bc0b9b785cfb/main.jpg,Artem Chereshkov,McGrath - St Kilda,470,"61/416 St Kilda Road, Melbourne, Vic 3004",2,1,1,https://i3.au.reastatic.net/agencylogo/IANEEH/12/20151214221859.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-421773102,apartment,https://i1.au.reastatic.net/640x480/f104bf9b9d2b31d241facb1990388c4b2437d10f530edd9f7fb969a9aea4bfbc/main.jpg,https://i1.au.reastatic.net/120x160/f7429a5ec2aaeecbe6842f6e4cb2ceed14e67de4fa18f0cad866813fbe8a0fad/main.jpg,Clarisa Putri,Melcorp Real Estate - Melbourne,480,"1105/25 Therry Street, Melbourne, Vic 3000",1,1,,https://i2.au.reastatic.net/agencylogo/XIQTUU/12/20171129114331.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423694314,apartment,https://i4.au.reastatic.net/640x480/25e80121eaa79f02b9ac2339af363a78f08143de606ff05dca6fe2f9d46ca982/main.jpg,https://i2.au.reastatic.net/120x160/6cfa12f685ba92887ee0116d790b8558583895c65da498afa24c7b454c5796c8/main.jpg,Bill Panagiotopoulos,Apartment Stays Melbourne,720,"1104/87 Franklin Street, Melbourne, Vic 3000",1,1,1,https://i3.au.reastatic.net/agencylogo/YHODEN/12/20170131210347.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423808934,apartment,https://i3.au.reastatic.net/640x480/687e65c784bfec0255efbb2aef2be811ae657317b5bd9a07db56bf4deeda609b/main.jpg,https://i1.au.reastatic.net/120x160/ca627e8c7e940d7f6fef027b4a040fb4c5882d9ff38af1d309ca85893bcf4e25/main.jpg,Jolin Xing,Melcorp Real Estate - Melbourne,600,"2508/483 Swanston Street, Melbourne, Vic 3000",2,1,,https://i2.au.reastatic.net/agencylogo/XIQTUU/12/20171129114331.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423694142,apartment,https://i2.au.reastatic.net/640x480/47790fa2fada1503999b251042bad8de6b63caf8d2586df692f3b945fe6b7108/main.jpg,https://i2.au.reastatic.net/120x160/6cfa12f685ba92887ee0116d790b8558583895c65da498afa24c7b454c5796c8/main.jpg,Bill Panagiotopoulos,Apartment Stays Melbourne,699,"703/11-17 Cohen Place, Melbourne, Vic 3000",1,1,,https://i3.au.reastatic.net/agencylogo/YHODEN/12/20170131210347.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423693878,apartment,https://i2.au.reastatic.net/640x480/d22dc78616e37cf52e0b2d9b226447b79880023845f1ab204d2a26a5a6756032/main.jpg,https://i2.au.reastatic.net/120x160/6cfa12f685ba92887ee0116d790b8558583895c65da498afa24c7b454c5796c8/main.jpg,Bill Panagiotopoulos,Apartment Stays Melbourne,720,"9/283 Spring Street, Melbourne, Vic 3000",1,1,1,https://i3.au.reastatic.net/agencylogo/YHODEN/12/20170131210347.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423693626,apartment,https://i1.au.reastatic.net/640x480/ac40874fd95f81610f09c87ef80a0a498edd780b5c405638a1308ec44c81296d/main.jpg,https://i1.au.reastatic.net/120x160/67be508b5e1408efa2fcd4021c69b369729414ece72316ed5b1e0af064f0caca/main.jpg,Nicholas Johan,Melbourne Real Estate - South Yarra  ,510,"3907/135 A'Beckett Street, Melbourne, Vic 3000",1,1,,https://i2.au.reastatic.net/agencylogo/MFGSOU/12/20160824093945.gif
https://www.realestate.com.au/property-apartment-vic-melbourne-423074970,apartment,https://i3.au.reastatic.net/640x480/b8ac083601b3712eee9fa1ba55c377c9f7040b5893a31b6bc56c24c6250a0e5b/main.jpg,https://i1.au.reastatic.net/120x160/de012c6a07cc640e498a0c5dbc9b027a3ffe1faaa033f515b68ed240a90e61e1/main.jpg,Loretta Smith,L R Reed - Melbourne,500,"Level 9/500 FLINDERS STREET, Melbourne, Vic 3000",1,1,,https://i2.au.reastatic.net/agencylogo/LRRMEL/12/20170303125807.gif
